Türkçe ,İngilizce
apparently,görünüşe göre
appeal,"beğeni, takdir / hitap etmek"
appeal to,hitap etmek
appear,"gibi görünmek, görülmek / ortaya çıkmak"
appearance,görünüş
appetite,zevk
appliance,cihaz
applicable,uygun
applicant,"aday, başvuran kişi"
application,başvuru
apply to,e uygulamak
appoint,atamak
appointed,belirlenmiş
appreciate,"beğenmek, takdir etmek / keyfini sürmek"
appreciation,beğeni
approach,yaklaşmak
approve,onaylamak
approximately,yaklaşık olarak
April showers bring May flowers,Perşembenin gelişi Çarşambadan bellidir (Nisan yağmurları Mayıs çiçeklerini getirir)
aquatic plant,su bitkisi
architect,mimar
architectural work,mimari eser
arctic,kuzey kutbu
area,"alan, bölge"
argue,"tartışmak, iddia etmek"
arise,ortaya çıkmak
arise from,doğmak
aristocracy,soylu sınıfı
army,"ordu, silahlı kuvvetler"
arousal,yükseliş
arouse,"uyandırmak, oluşturmak"
arouse interest,"ilgi çekmek, ilgi uyandırmak"
arrange,"(buluşma vs.) ayarlamak, düzenlemek"
arrival,varış
arrive,"ulaşmak, varmak"
art,sanat / resim
arthritis,eklem iltihabı
article,"makale, yazı"
artifact,eser
artisan,zanaatkar
artist,ressam
artistic,sanatsal
artistically,sanatsal açıdan
as a whole,bir bütün olarak
as regards,… söz konusu ise
ash,kül
aspect,"açı, yön"
assassin,suikastçi
assassinate,suikast yapmak
assert,"iddia etmek, belirtmek"
assess,değerlendirmek
assessment,değerlendirme
assistance,"yardım, destek"
associate with,ilişkilendirmek
association,birlik
assume,varsaymak
asteroid,göktaşı
astonished,şaşırmış
astounding,şaşırtıcı
astronomer,gökbilimci
astronomical,astronomik
astronomy,gökbilimi
at all costs,her ne pahasına olursa olsun
at close quarters,yakın mesafeden
at last,sonunda
at least,en azından
athlete,"atlet, sporcu"
atmosphere,"ortam, atmosfer"
attach importance,önem vermek
attack,"saldırı, saldırmak"
attempt,"çaba, teşebbüs, girişim, deneme / çabalamak, denemek"
attempt to,"amaçlamak, çabalamak"
attend,katılmak
attention,"dikkat, ilgi"
attitude,"tutum, tavır"
attract,çekmek
attract,ilgi çekmek
attract attention,dikkat çekmek
attraction,"beğeni, ilgi / turist çeken yer"
attractive,çekici
attractiveness,çekicilik
attribute to,"e bağlamak, … ile ilişkilendirmek"
audience,"izleyici, seyirci, okur, takipçi"
aunt,"teyze, hala"
author,yazar
authority,otorite
autmn,sonbahar
autobiography,otobiyografi
availability,"bulunurluk, mevcut oluş"
available,"elverişli, mevcut, ulaşılabilir, uygun"
average,ortalama
avoid,"kaçınmak, uzak durmak, sakınmak"
await,beklemek
awaken,uyandırmak
award,ödüllendirmek
aware,"farkında, bilinçli"
away,uzakta
awhile,bir süre
baby,bebek
back,arka taraf
back and forth,ileri geri
back up,desteklemek
background,"arka plan, zemin"
bad luck,kötü şans
baked,pişirilmiş
balance,"denge, dengelemek"
balcony,balkon
bald eagle,kel kartal
ballad,halk şarkısı
ban,yasaklamak
banana,muz
bank,banka
barely,çok az
barren,çıplak
base,baz
base on/upon,dayandırmak
based on,"…e dayanan, dayalı"
basic,temel
basically,temelde
basis,temel
basket,sepet
bat,yarasa
battle,savaş
battleship,savaş gemisi
be about to,mak üzere olmak
be away from,den uzak olmak
be destined,kaderinde olmak
be employed,bir işte çalışmak
be home to,"ev sahipliği yapmak, bulundurmak"
be late,geç kalmak
be likely to,büyük ihtimalle
be out of,dışında olmak
be present,"var olmak, bulunmak"
be threatened with,tehdit altında olmak
be up against,mücadele etmek
be up to,canı istemek
be willing to,istekli olmak
beach,kumsal
bean,"tohum, çekirdek"
bear,doğurmak
bear in mind,akılda tutmak
bear upon,etkilemek
beat,yenmek
beauty,güzellik
become,"olmak, -e dönüşmek"
become acquainted with,tanışmak
become extinct,soyu tükenmek
bed,yatak
beforehand,önceden
begin (V2 began),başlamak
behave,davranmak
behavior,davranış
behaviour,davranış
being,varlık
belief,"inanç, görüş"
believable,inandırıcı
believe,inanmak
believe in,inanmak
bell,"zil, çan"
belong to,ait olmak
below,aşağıda
below ground,yer altı
beneficial,"yararlı, faydalı"
benefit,"fayda, yarar"
besides,ayrıca
beyond,"ötesine, ötesinde"
biased,taraflı
bicycle,bisiklet
bill,yasa
billion,milyar
binding,cilt
biographer,biyografi yazarı
biography,biyografi
bird,kuş
birth,doğum
birth rate,doğum yapma oranı
bit,parça
bite (V3 bitten),ısırmak
bitter,acı
blame,suçlamak
blend,karıştırmak
blend into,"uyum sağlamak, araya karışmak"
block,"tıkamak, kapatmak"
blood cell count,kan hücre sayımı
blow,esmek
blow up,patlamak
blue whale,mavi balina
board,düz tabela
boast,gururlanmak
boat,"kayık, gemi"
body,kurum
bone,kemik
boom,"patlama, ani artış"
boot,bot
border,sınır
borrow,ödünç almak
Bosphorus,İstanbul Boğazı
boss,patron
bother,zahmet etmek
bottom,"taban, dip"
bound,"sınırlamak, çevrelemek"
brain,beyin
brainless,beyinsiz
branch,"dal, şube"
brazier,mangal
break (V2 broke),kırmak
break down,bozulmak
break out,(savaş vs.) patlak vermek
break through,"aşmak, üstesinden gelmek"
break up,ayrılmak
breathe,nefes almak
breathing,nefes alma
bridge,köprü
brief,"kısa, öz"
bright,"aydınlık, parlak"
brightness,parlaklık
brilliant,"harika, zekice, zeki"
bring (V2 - 3 brought),getirmek
bring about,"sağlamak, neden olmak"
bring back,geri getirmek
bring down,azaltmak
bring in,"getirmek, sunmak"
bring sth. upon sb.,başına dert açmak
bring together,bir araya getirmek
bring up,yetiştirmek
broad,"geniş, kapsamlı"
broaden,genişletmek
broken,kırık dökük
bronze,bronz
brush,fırçalamak
brushing,fırça hareketi
budget,bütçe
build,"inşa etmek, ev yapmak"
build upon,e dayandırmak
building,bina
build-up,birikme
built- in,dahili
bull,boğa
burn,yanmak
burnt- up,yanmış
bury,gömmek
bus,otobüs
bush,çalı
business,"iş, işletme"
businessman,işadamı
bust,büst
busy,"meşgul, yoğun"
by any chance,bir ihtimal
by means of,aracılığıyla
by mere chance,şans eser
certain,"belirli / kesin, emin"
certainly,kesinlikle
challenge,güçlük
challenging,mücadeleci
chamber,oda
chance,"fırsat, şans"
change,"değişiklik, değişim / değiştirmek"
change into,dönüştürmek
change somebody's mind,fikrini değiştirmek
changeable,değişken
channel,"kanal, yönlendirmek"
characteristic,özellik
characterize,karakterini şekillendirmek
charming,çekici
chase,"kovalamak, izlemek"
cheap,ucuz
check,kontrol etmek
check-in,bilet kontrol
cheetah,çita
chief,ana
childhood,çocukluk
chimpanzee,şempanze
choice,seçim
choose,seçmek
chop,kesmek
Christianity,Hıristiyanlık
chronic,kronik
church,kilise
circle,çember
circumstance,"durum, olay"
citizen,vatandaş
city dweller,şehirli
civil war,iç savaş
civilization,uygarlık
claim,iddia / iddia etmek
clarity,açıklık
class,"sınıf, zümre"
classify,sınıflandırmak
clay,kil
clean,temiz / temizlemek
clear,açık
clear away,temizlemek
clear up,ortadan kalkmak
clearly,açıkça
clerk,"görevli, memur"
clever,zeki
cleverness,zeka
cliff,"yar, uçurum"
climate,iklim
climate change,iklim değişikliği
climatic conditions,iklim koşulları
climax,doruk noktası
climb,"çıkmak, tırmanmak"
clock,saat
close,yakın / kapatmak
clothes,"giysiler, kıyafetler"
cloud,bulut
clue,"ipucu, işaret"
clump,"küme, yığın"
coach,antrenör
coal,kömür
coast,kıyı
coconut,hindistan cevizi
communicate,aktarmak
coin,"sikke, metal para"
collaborate,işbirliği yapmak
collaboration,işbirliği
colleague,meslektaş
collect,"derlemek, toplamak"
collection,derleme
collective,"birlik, kolektif, ortak"
collide with,çarpışmak
collision,çarpışma
colonization,sömürgeleşme
colony,sömürge
colossal,devasa
colour,renk
combat,"savaş, kavga"
combination,"birleşim, karışım"
combine,"birleşmek, birleştirmek"
come about,ortaya çıkmak
come across,karşılaşmak
come back,geri dönmek
come close,yaklaşmak
come into being,"oluşmak, gerçekleşmek"
come into existence,ortaya çıkmak
come out,"bitmek, sona ermek"
come to an end,gün yüzüne çıkmak
come to light,"uzlaşmak, anlayışla karşılamak"
come to terms,gerçekleşmek
come true,yükselmek
come up,kuyruklu yıldız
comet,rahat
comfortable,"kumanda etmek, yönetmek"
command,yorum
comment,ticaret
commerce,ticari / reklam
commercial,komisyon / emretmek
commission,"emtia, mülk, mal"
commodity,"ortak, yaygın"
common,ortak zemin
common ground,yaygın görüş
common view,"ortak olarak, yaygın olarak"
commonly,iletişim kurmak
communicate,topluluk
community,şirket / destek
company,kıyaslamak
compare,kıyas
comparison,"vagon bölümü, kompartıman"
compartment,zorlamak
compel,yarışmak
compete,"rekabet, yarışma"
competition,mücadeleci
competitive,yakınmak
complain,şikayet
complaint,"bütün, tam / tamamlamak"
complete,karmaşık
complex,karmaşıklık
complexity,karmaşık
complicated,"sorun, engel"
complication,"bileşen, parça"
component,"bestekar, besteci"
composer,"bileşim, bütünlük"
composition,çürümüş organik gübre
compost,birleşik
compound,anlama
comprehension,özetleme
compression,"oluşturmak, içermek"
comprise of,zorunlu
compulsive,kirletici
contaminant,edinmek
conceive,odaklanmak
concentrate on,yoğunlaşmış
concentrated,kavram
concept,"endişe, kaygı mesele, uğraş, ilgi / ilgilendirmek"
concern,endişeli
concerned,… ile ilgili
concerned with,… ile ilgili
concerning,konser
concert,kesin olarak
conclusively,kınanan
condemned,"durum, koşul, şart"
condition,koşullanma
conditioning,"görüşmek, sunmak"
confer,kendinden emin
confident,hapsetmek
confine,kendini sınırlamak
confine oneself to,"sınırlı, kısıtlı"
confined to,doğrulamak
confirm,çatışma
conflict,"karşılaşmak, yüzleşmek"
confront,kafasını karıştırmak
confuse,tebrik etmek
congratulate,bağlamak
connect,bağlı
connected,bağlantı
connection,bağlantı
conquer,fethetmek
consecutive,art arda
consecutively,art arda
consequence,sonuç
conservatoire,konservatuar
conserve,korumak
consider,"… olarak görmek, …olarak düşünmek, dikkate almak"
considerable,"büyük miktarda, çok, önemli, dikkate değer"
considerably,önemli ölçüde
consideration,düşünce
consist of,içermek
consistency,tutarlılık
consistent,tutarlı
conspiracy,komplo
conspirator,"suikastçi, komplocu"
constant,sürekli
constantly,sürekli olarak
construct,"yapılandırmak, kurmak"
construction,inşa
consume,tüketmek
consumer,tüketici
contact,iletişim
contain,içermek
contemporary,"bir döneme ait, çağdaş, güncel"
content with,memnun
contest,karşı çıkmak
context,"bağlam, içinde bulunulan durum"
continent,kıta
continental drift,kıta kayması
continually,devamlı
continue,devam etmek
continuously,sürekli olarak
contradict,çelişmek
contrary to,"aksine, tersine"
contribute,"katkı yapmak, katkıda bulunmak"
contribute to,katkıda bulunmak
contribution,katkı
controversial,tartışmalı
controversy,"anlaşmazlık, tartışma"
convenient,uygun
convention,"standart, uzlaşım / toplantı"
conventional,geleneksel
conversation,"konuşma, diyalog"
conversation,sohbet
convert,dönüştürmek
convert to,"dönmek, değişmek"
convey,aktarmak
convince,ikna etmek
convinced,ikna olmuş
convincingly,ikna edici biçimde
cook,pişirmek
cooking,"mutfak, pişirme teknikleri"
cool,soğumak
cool off,soğumak
cooperate,işbirliği yapmak
cooperation,işbirliği
cope with,başa çıkmak
copy,"kopya etmek, taklit etmek"
coral reef,"mercanköy, mercan resifi"
corn,mısır
corner,köşe
correct,doğru
correctly,doğru olarak
correlation,bağlantı
correspondent,muhabir
corruption,yolsuzluk
cosmic radiation,kozmik radyasyon
cosmos,evren
cost,"mal olmak, maliyet, masraf"
cost dearly,pahalıya mal olmak
costly,"pahalı, masraflı"
costume,kıyafet
cotton,pamuk
count,saymak
count on,güvenmek
counterpart,akran
country,"kır, şehir dışı / ülke"
courage,isteklilik
courageously,cesurca
course,ders
court,saha
court musician,saray müzisyeni
cover,"(haber vs.) yazmak / kaplamak, kapsamak"
covered with / in,kaplı
cow,inek
crash landing,arızalı iniş
create,"oluşturmak, yaratmak"
creation,"üretim, yaratma"
creative,yaratıcı
creativity,yaratıcılık
creature,yaratık
credible,inandırıcı
crew,"mürettebat, tayfa"
crime,suç
criminal,suç içeren / suçlu
critic,eleştirmen
critically,eleştirel olarak
criticism,eleştiri
criticize,eleştirmek
crop,"ekin, hasat"
cross,karşıya geçmek
cross- cultural,kültürlerarası
crossroads,kavşak
crow,karga
crowd,"kalabalık, insan topluluğu"
crowded,kalabalık
crush,kırmak
cultivate,yetiştirme
cure,"çare, tedavi, iyileştirmek"
curiosity,merak
curious,meraklı
currency,para birimi
current,şu andaki
curricula,müfredat
curtail,"engellemek, kısmak"
customer,müşteri
cut,"kesmek, biçmek"
cut down,kesmek
cycle,döngü
cycling,bisiklete binme
daily,günlük olarak
damage,"hasar, zarar / zarar vermek"
danger,tehlike
dangerous,tehlikeli
dark,karanlık
data,veri
date,tarih
date back to,… tarihine dayanmak
dawn,şafak
day-care,"bakıcılık, kreş"
daylight,günışığı
dead,ölü
deadly,ölümcül
deal with,"… ile ilgilenmek, ele almak, başa çıkmak"
death,"ölüm, vefat"
debate,tartışma / tartışmak
decade,on yıl
decay,"yok olma, çürüme"
deceive,"kandırmak, yanıltmak"
deception,kandırmaca
decide,karar vermek
decidedly,şüphesiz
decision,karar
decisive,"kararlı, kesin"
declare,açıklamak
decline,"azalma, azalmak, çöküş, gerileme"
decrease,azalmak
deep,derin
deer,geyik
defeat,yenmek
defend,savunmak
defense,savunma
define,tanımlamak
definite,"kesin, belirli"
definitely,kesinlikle
definition,tanım
degree,"derece, aşama"
delay,"gecikme, geciktirmek"
delicate,"narin, hassas"
delight,"keyif, zevk"
delightful,"keyifli, zevkli"
deliver,"teslim etmek, dağıtmak"
delivery,teslimat
demand,"talep, talep etmek"
democracy,demokrasi
democratic,demokratik
demonstrate,"göstermek, kanıtlamak"
demonstration,"gösteri, protesto"
dentist,dişçi
deny,inkar etmek
department,"bölüm, departman"
departure,"ayrılış, kalkış"
depend,"bağlı olmak, güvenmek"
dependence,bağımlılık
dependent,bağımlı
depict,"tasvir etmek, betimlemek"
deposit,"mevduat, depozito"
deprive,mahrum etmek
depth,derinlik
describe,"tanımlamak, betimlemek"
description,"tanım, betimleme"
desert,çöl
deserve,hak etmek
design,"tasarım, dizayn etmek"
designate,"belirlemek, atamak"
desire,"arzu, istek"
desk,masa
desperate,"umutsuz, çaresiz"
desperately,umutsuzca
despite,rağmen
destroy,yok etmek
destruction,"yok etme, tahribat"
detail,"detay, ayrıntı"
detailed,detaylı
detect,"tespit etmek, bulmak"
detection,tespit
detective,dedektif
deter,"caydırmak, engel olmak"
determination,"kararlılık, azim"
determine,"belirlemek, karar vermek"
determined,"kararlı, azimli"
develop,"geliştirmek, büyütmek"
development,"gelişim, kalkınma"
device,"cihaz, aygıt"
devote,"adamak, vakfetmek"
devotion,"bağlılık, sadakat"
diagnose,teşhis koymak
diagnosis,teşhis
diamond,elmas
diary,"günlük, ajanda"
dictate,"dikte etmek, söylemek"
dictator,diktatör
die,ölmek
diet,diyet
differ,farklılık göstermek
difference,"fark, ayrım"
different,farklı
differently,farklı olarak
difficult,"zor, güç"
difficulty,"zorluk, güçlük"
dig,kazmak
digest,"sindirmek, hazmetmek"
digestion,sindirim
digital,dijital
dignity,"haysiyet, onur"
dilemma,ikilem
dimension,"boyut, ebat"
diminish,"azalmak, küçülmek"
dining,yemek
dinner,akşam yemeği
direct,"doğrudan, yönlendirmek"
direction,"yön, yönelim"
directly,doğrudan olarak
director,"yönetmen, müdür"
directory,"rehber, dizin"
dirt,"kir, pislik"
dirty,kirli
disagree,"katılmamak, anlaşmamak"
disappear,ortadan kaybolmak
disappoint,hayal kırıklığına uğratmak
disappointed,hayal kırıklığına uğramış
disappointment,hayal kırıklığı
disaster,"felaket, afet"
discard,"atmak, elden çıkarmak"
discipline,"disiplin, ceza"
disclose,"açığa çıkarmak, ifşa etmek"
discomfort,rahatsızlık
disconnect,bağlantısını kesmek
discount,"indirim, iskonto"
discourage,"cesaretini kırmak, vazgeçirmek"
discover,"keşfetmek, bulmak"
discovery,"keşif, buluş"
discredit,"güvenini sarsmak, itibarını zedelemek"
discreet,"tedbirli, dikkatli"
discretion,"takdir, serbestlik"
discriminate,"ayırt etmek, ayrım yapmak"
discrimination,"ayrımcılık, fark gözetme"
discuss,"tartışmak, görüşmek"
discussion,"tartışma, görüşme"
disease,hastalık
disguise,"kılık değiştirmek, gizlemek"
disgust,"tiksinti, nefret"
dish,"tabak, yemek"
disk,disk
dismiss,"kovmak, reddetmek"
disorder,"düzensizlik, bozukluk"
display,"sergilemek, göstermek"
disposal,"imha, bertaraf"
dispose of,"atmak, kurtulmak"
dispute,"tartışma, anlaşmazlık"
disrupt,"bozmak, aksatmak"
dissatisfaction,memnuniyetsizlik
dissolve,"eritmek, çözmek"
distance,"mesafe, uzaklık"
distant,"uzak, mesafeli"
distinct,"farklı, belirgin"
distinction,"ayrım, fark"
distinguish,"ayırt etmek, farkını görmek"
distribute,"dağıtmak, paylaştırmak"
distribution,"dağıtım, dağılım"
district,"bölge, semt"
disturb,"rahatsız etmek, huzurunu bozmak"
disturbance,"rahatsızlık, huzursuzluk"
divide,"bölmek, ayırmak"
division,"bölme, ayrım"
divorce,"boşanmak, boşanma"
dizzy,"başı dönen, sersemlemiş"
do,yapmak
document,"belge, doküman"
documentary,belgesel
dog,köpek
doll,oyuncak bebek
domain,"alan, etki alanı"
domestic,"yerli, evcil"
dominance,"egemenlik, üstünlük"
dominant,"baskın, egemen"
dominate,"hakim olmak, egemen olmak"
donate,"bağışlamak, yardım etmek"
donation,"bağış, yardım"
donkey,eşek
door,kapı
doorstep,eşik
dope,uyuşturucu madde
dose,"doz, miktar"
dot,"nokta, benek"
double,"çift, iki katı"
doubt,"şüphe, kuşku"
doubtful,"şüpheli, kuşkulu"
down,"aşağı, aşağıya"
downhill,"aşağı, yokuş aşağı"
dozen,düzine
draft,"taslak, tasarı"
drag,"sürüklemek, çekmek"
drain,"boşaltmak, drenaj"
drama,"drama, tiyatro"
dramatic,"dramatik, etkileyici"
dramatically,dramatik bir şekilde
draw,"çizmek, çekmek"
drawer,çekmece
drawing,"çizim, resim"
dream,"rüya, hayal"
dress,"elbise, giyinmek"
drift,"sürüklenmek, akıntı"
drill,"matkap, delmek"
drink,"içmek, içecek"
drive,"sürmek, sürüş"
driver,sürücü
drop,"düşmek, damla"
drought,kuraklık
drown,boğulmak
drug,"ilaç, uyuşturucu"
drum,davul
drunk,sarhoş
dry,kuru
dry up,kurumak
duck,ördek
due,"vadesi gelmiş, dolayısıyla"
due to,… den dolayı
dull,"donuk, sıkıcı"
dumb,"dilsiz, aptal"
dump,"dökmek, çöplük"
during,"sırasında, esnasında"
dust,"toz, toz almak"
dusty,tozlu
duty,"görev, sorumluluk"
dwell,"ikamet etmek, yaşamak"
dwelling,"ikamet, konut"
dye,"boya, boyamak"
dynamic,dinamik
each,"her biri, her"
eager,"istekli, hevesli"
eagerly,istekli bir şekilde
eagle,kartal
ear,kulak
early,erken
earn,"kazanmak, para kazanmak"
earnings,"kazanç, gelir"
earth,"yer, toprak"
earthquake,deprem
ease,"kolaylık, rahatlık"
easily,"kolayca, rahatlıkla"
east,doğu
eastern,"doğu, doğuya ait"
easy,kolay
eat,"yemek, yem"
eat up,"bitirmek, tamamen tüketmek"
echo,"yankı, yankılanmak"
economic,ekonomik
economics,ekonomi
economist,ekonomist
economy,"ekonomi, tasarruf"
edge,"kenar, köşe"
edition,"baskı, basım"
editor,"editör, yayımcı"
educate,"eğitmek, öğretmek"
education,"eğitim, öğrenim"
educational,"eğitimsel, eğitimle ilgili"
effect,"etki, tesir"
effective,"etkili, etkileyici"
effectively,etkili bir şekilde
efficiency,"verimlilik, etkinlik"
efficient,"etkili, verimli"
effort,"çaba, gayret"
egg,yumurta
either,"ya da, her ikisinden biri"
elaborate,"ayrıntılı, detaylı"
elapse,"geçmek, zamanın geçmesi"
elastic,"esnek, elastik"
elbow,dirsek
elect,"seçmek, seçim yapmak"
election,"seçim, seçme"
electric,"elektrikli, elektrik"
electrical,elektrikle ilgili
electricity,elektrik
electronic,elektronik
elegant,"zarif, şık"
element,"element, unsur"
elevator,asansör
eliminate,"ortadan kaldırmak, elemek"
else,"başka, ayrı"
elsewhere,"başka bir yerde, başka türlü"
email,e-posta
embark on,"başlamak, girişmek"
embarrass,"utandırmak, mahcup etmek"
embarrassing,"utanç verici, sıkıcı"
embassy,elçilik
embed,"gömmek, yerleştirmek"
embrace,"kucaklamak, benimsemek"
emerge,"ortaya çıkmak, belirmek"
emergency,"acil durum, tehlike"
emit,"yaymak, çıkarmak"
emotion,"duygu, his"
emotional,duygusal
emphasis,"vurgu, önem"
emphasize,"vurgulamak, önemini belirtmek"
employ,"iş vermek, çalıştırmak"
employee,"çalışan, işçi"
employer,işveren
employment,"iş, istihdam"
empower,"yetki vermek, güçlendirmek"
empty,"boş, boşaltmak"
enable,"olanak sağlamak, mümkün kılmak"
encounter,"karşılaşma, rastlama"
encourage,"cesaretlendirmek, teşvik etmek"
encouragement,"teşvik, cesaretlendirme"
end,"son, bitiş"
endanger,"tehlikeye atmak, riske sokmak"
endangered,"tehlikede olan, nesli tükenmekte olan"
endless,"sonsuz, bitmek bilmeyen"
endorse,"onaylamak, desteklemek"
endow,"bağışlamak, bahşetmek"
endure,"dayanmak, katlanmak"
enemy,düşman
energetic,"enerjik, dinamik"
energy,"enerji, güç"
enforce,"zorlamak, uygulamak"
enforcement,"uygulama, zorlama"
engage,"meşgul olmak, bağlanmak"
engaged,"nişanlı, meşgul"
engagement,"nişan, sözleşme"
engine,"motor, makine"
engineer,mühendis
engineering,mühendislik
enhance,"artırmak, geliştirmek"
enjoy,"keyfini çıkarmak, zevk almak"
enjoyable,"keyifli, zevkli"
enjoyment,"keyif, zevk"
enormous,"muazzam, kocaman"
enough,"yeterli, yeterince"
enrich,"zenginleştirmek, artırmak"
enroll,"kaydolmak, yazılmak"
ensure,"sağlamak, garantiye almak"
enter,"girmek, katılmak"
enterprise,"işletme, girişim"
entertain,"eğlendirmek, ağırlamak"
entertainment,"eğlence, eğlendirme"
enthusiasm,"heves, coşku"
enthusiastic,"hevesli, coşkulu"
entire,"bütün, tüm"
entirely,"tamamen, bütünüyle"
entitle,"yetki vermek, hak kazandırmak"
entrance,"giriş, giriş yapmak"
entrepreneur,girişimci
entry,"giriş, kayıt"
envelope,zarf
environment,"çevre, ortam"
environmental,"çevresel, çevreyle ilgili"
environmentally,çevre açısından
envy,"kıskanmak, imrenmek"
epic,"destansı, epik"
episode,"bölüm, bölümün bir parçası"
equal,"eşit, denk"
equality,"eşitlik, denklik"
equally,"eşit olarak, aynı derecede"
equation,"denklem, eşitlik"
equip,"donatmak, teçhizatlandırmak"
equipment,"ekipman, malzeme"
equivalent,"eşdeğer, denk"
era,"çağ, dönem"
erase,"silmek, temizlemek"
erode,"aşındırmak, erozyona uğramak"
erosion,"erozyon, aşınma"
erotic,"erotik, cinsel"
err,"hata yapmak, yanılmak"
error,"hata, yanlışlık"
escape,"kaçmak, kaçış"
escort,"refakat etmek, eskortluk yapmak"
especially,"özellikle, bilhassa"
essay,"deneme, makale"
essence,"esas, öz"
essential,"gerekli, önemli"
essentially,"esasen, temel olarak"
establish,"kurmak, tesis etmek"
establishment,"kuruluş, tesis"
estate,"mal, mülk"
esteem,"saygı, itibar"
estimate,"tahmin etmek, değer biçmek"
etc.,"ve benzeri, vb."
eternal,"sonsuz, ebedi"
ethical,ahlaki
ethics,"ahlak, etik"
ethnic,"etnik, ırksal"
Europe,Avrupa
European,Avrupa'lı
evaluate,"değerlendirmek, değer biçmek"
evaluation,"değerlendirme, değer biçme"
even,"hatta, bile"
evening,akşam
event,"olay, etkinlik"
eventually,"sonunda, nihayet"
ever,"hiç, her zaman"
every,"her, her biri"
everybody,herkes
everyday,"her gün, sıradan"
everyone,herkes
everything,her şey
everywhere,her yerde
evidence,"kanıt, delil"
evident,"açık, belirgin"
evil,"kötü, şeytan"
evolution,"evrim, gelişim"
evolve,"evrim geçirmek, gelişmek"
exact,"kesin, tam"
exactly,"tam olarak, kesinlikle"
exaggerate,"abartmak, büyütmek"
exaggerated,"abartılı, şişirilmiş"
examination,"inceleme, muayene"
examine,"incelemek, muayene etmek"
example,örnek
exceed,"aşmak, geçmek"
